Country Name,Country Code,Series,Series Code,1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2025 [YR2025],2030 [YR2030],2035 [YR2035],2040 [YR2040],2045 [YR2045],2050 [YR2050],2055 [YR2055],2060 [YR2060],2065 [YR2065],2070 [YR2070],2075 [YR2075],2080 [YR2080],2085 [YR2085],2090 [YR2090],2095 [YR2095],2100 [YR2100]
Afghanistan,AFG,"Enrolment in post-secondary non-tertiary education, both sexes (number)",UIS.E.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10516,..,..,..,..,34380,31386,51694,76969,..,..,136862,126502,133905,..,102275,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Enrolment in post-secondary non-tertiary education, female (number)",UIS.E.4.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12630,9195,15736,22360,..,..,57862,54238,54889,..,35669,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Enrolment in post-secondary non-tertiary education, male (number)",UIS.E.4.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21750,22191,35958,54609,..,..,79000,72264,79016,..,66606,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",UIS.GER.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.08861,..,..,..,..,3.27289,2.94064,4.71624,6.68899,..,..,9.94819,8.68637,8.79763,..,6.27012,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Gross enrolment ratio, post-secondary non-tertiary, female (%)",UIS.GER.4.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.49699,1.78647,2.97546,4.02799,..,..,8.69604,7.68145,7.41842,..,4.48876,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Gross enrolment ratio, post-secondary non-tertiary, gender parity index (GPI)",UIS.GER.4.GPI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.62527,0.44488,0.46937,0.43929,..,..,0.78194,0.79748,0.73433,..,0.56375,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Gross enrolment ratio, post-secondary non-tertiary, male (%)",UIS.GER.4.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.99347,4.01562,6.33927,9.16926,..,..,11.12104,9.63216,10.10232,..,7.96226,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Official entrance age to post-secondary non-tertiary education (years),UIS.THAGE.4.A.GPV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, adjusted gender parity index (GPIA)",UIS.PRYA.12MO.GPI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, both sexes (%)",UIS.PRYA.12MO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
